name,type,region_name
"22 км",settlement,"Республика Башкортостан"
"24 км",settlement,"Республика Башкортостан"
"Южная",settlement,"Республика Башкортостан"
"Дмитриевка",settlement,"Республика Башкортостан"
"Подымалово",settlement,"Республика Башкортостан"
"Ясный",settlement,"Республика Башкортостан"
"Ягодная Поляна",settlement,"Республика Башкортостан"
"Жуково",settlement,"Республика Башкортостан"
"Мармылево",settlement,"Республика Башкортостан"
"Мысовцево",settlement,"Республика Башкортостан"
"Сергеевка",settlement,"Республика Башкортостан"
"Березовка",settlement,"Республика Башкортостан"
"Зубово",settlement,"Республика Башкортостан"
"Лебяжий",settlement,"Республика Башкортостан"
"Нижегородка",settlement,"Республика Башкортостан"
"Асаново",settlement,"Республика Башкортостан"
"Кармасан",settlement,"Республика Башкортостан"
"Юлушево",settlement,"Республика Башкортостан"
"Грибовка",settlement,"Республика Башкортостан"
"Кириллово",settlement,"Республика Башкортостан"
"Светлая",settlement,"Республика Башкортостан"
"Рождественский",settlement,"Республика Башкортостан"
"Тауш",settlement,"Республика Башкортостан"
"Горново",settlement,"Республика Башкортостан"
"Горново ОПХ",settlement,"Республика Башкортостан"
"Карюгино",settlement,"Республика Башкортостан"
"Красный Яр",settlement,"Республика Башкортостан"
"Кумлекуль",settlement,"Республика Башкортостан"
"Черновский",settlement,"Республика Башкортостан"
"Чернолес",settlement,"Республика Башкортостан"
"Чернолесовский",settlement,"Республика Башкортостан"
"Якшиваново",settlement,"Республика Башкортостан"
"Колокольцево",settlement,"Республика Башкортостан"
"Кручинино",settlement,"Республика Башкортостан"
"Лесной",settlement,"Республика Башкортостан"
"Миловка",settlement,"Республика Башкортостан"
"Начапкино",settlement,"Республика Башкортостан"
"Сперанский",settlement,"Республика Башкортостан"
"Вавилово",settlement,"Республика Башкортостан"
"Михайловка",settlement,"Республика Башкортостан"
"Мударисово",settlement,"Республика Башкортостан"
"Суровка",settlement,"Республика Башкортостан"
"Казырово",settlement,"Республика Башкортостан"
"Николаевка",settlement,"Республика Башкортостан"
"Нурлино",settlement,"Республика Башкортостан"
"Вольно-Сухарево",settlement,"Республика Башкортостан"
"Ушаково",settlement,"Республика Башкортостан"
"Бурцево",settlement,"Республика Башкортостан"
"Крючевка",settlement,"Республика Башкортостан"
"Русский Юрмаш",settlement,"Республика Башкортостан"
"Шамонино",settlement,"Республика Башкортостан"
"Глумилино",settlement,"Республика Башкортостан"
"Лекаревка",settlement,"Республика Башкортостан"
"Таптыково",settlement,"Республика Башкортостан"
"Волково",settlement,"Республика Башкортостан"
"Новые Карашиды",settlement,"Республика Башкортостан"
"Покровка",settlement,"Республика Башкортостан"
"Черкассы",settlement,"Республика Башкортостан"
"Чуварез",settlement,"Республика Башкортостан"
"Геофизиков",settlement,"Республика Башкортостан"
"Загорский",settlement,"Республика Башкортостан"
"Торфяной",settlement,"Республика Башкортостан"
"Чесноковка",settlement,"Республика Башкортостан"
"Бейгулово",settlement,"Республика Башкортостан"
"Новотроевка",settlement,"Республика Башкортостан"
"Октябрьский",settlement,"Республика Башкортостан"
"Первомайский",settlement,"Республика Башкортостан"
"Шемяк",settlement,"Республика Башкортостан"
"санатория Юматово имени 15-летия БАССР",settlement,"Республика Башкортостан"
"Уптино",settlement,"Республика Башкортостан"
"Юматово",settlement,"Республика Башкортостан"
"станции Юматово",settlement,"Республика Башкортостан"
"Юматовского сельхозтехникума",settlement,"Республика Башкортостан"
"Авдон",settlement,"Республика Башкортостан"
"Петровка",settlement,"Республика Башкортостан"
"Дорогино",settlement,"Республика Башкортостан"
"Кипчак",settlement,"Республика Башкортостан"
"Дубрава",settlement,"Республика Башкортостан"
"Кустарево",settlement,"Республика Башкортостан"
"Падеевка",settlement,"Республика Башкортостан"
"Шмидтово",settlement,"Республика Башкортостан"
"Волково",settlement,"Республика Башкортостан"
"Лавочное",settlement,"Республика Башкортостан"
"Опытное хозяйство",settlement,"Республика Башкортостан"
"Уршак",settlement,"Республика Башкортостан"
"Кундряк",settlement,"Республика Башкортостан"
"Фомичево",settlement,"Республика Башкортостан"
"Осоргино",settlement,"Республика Башкортостан"
"Дебовка",settlement,"Республика Башкортостан"
"Курасково",settlement,"Республика Башкортостан"
"Дема-2",settlement,"Республика Башкортостан"
"Искинский",city,"Республика Башкортостан"
"Нагаевский",city,"Республика Башкортостан"
"Булгаковский",city,"Республика Башкортостан"
"Дмитриевский",city,"Республика Башкортостан"
"Зубовский",city,"Республика Башкортостан"
"Кирилловский",city,"Республика Башкортостан"
"Красноярский",city,"Республика Башкортостан"
"Черкасский",city,"Республика Башкортостан"
"Чесноковский",city,"Республика Башкортостан"
"Альшеевский",district,"Республика Башкортостан"
"Раевский",settlement,"Республика Башкортостан"
"Шафраново",settlement,"Республика Башкортостан"
"Чайкино",settlement,"Республика Башкортостан"
"Аксеново",settlement,"Республика Башкортостан"
"Ким",settlement,"Республика Башкортостан"
"Андриановка",settlement,"Республика Башкортостан"
"Бикчагул",settlement,"Республика Башкортостан"
"Кайраклы",settlement,"Республика Башкортостан"
"Ханжарово",settlement,"Республика Башкортостан"
"Ярабайкуль",settlement,"Республика Башкортостан"
"Малоабдрашитово",settlement,"Республика Башкортостан"
"Линда",settlement,"Республика Башкортостан"
"Крымский",settlement,"Республика Башкортостан"
"Верхнее Аврюзово",settlement,"Республика Башкортостан"
"Мечниково",settlement,"Республика Башкортостан"
"Аврюзтамак",settlement,"Республика Башкортостан"
"Нижнее Аврюзово",settlement,"Республика Башкортостан"
"Зарагат",settlement,"Республика Башкортостан"
"Ирик",settlement,"Республика Башкортостан"
"Хрусталево",settlement,"Республика Башкортостан"
"Сараево",settlement,"Республика Башкортостан"
"Дим",settlement,"Республика Башкортостан"
"Кармышево",settlement,"Республика Башкортостан"
"Михайловка",settlement,"Республика Башкортостан"
"Уваровка",settlement,"Республика Башкортостан"
"Старая Васильевка",settlement,"Республика Башкортостан"
"Мендяново",settlement,"Республика Башкортостан"
"Устьевка",settlement,"Республика Башкортостан"
"Адамовка",settlement,"Республика Башкортостан"
"Трунтаишево",settlement,"Республика Башкортостан"
"Айдагулово",settlement,"Республика Башкортостан"
"Никифарово",settlement,"Республика Башкортостан"
"Новые Балгазы",settlement,"Республика Башкортостан"
"Алдарово",settlement,"Республика Башкортостан"
"Александровка",settlement,"Республика Башкортостан"
"Балгазы",settlement,"Республика Башкортостан"
"Баязитово",settlement,"Республика Башкортостан"
"Ташлы",settlement,"Республика Башкортостан"
"Таштюбе",settlement,"Республика Башкортостан"
"Урняк",settlement,"Республика Башкортостан"
"Новый Кипчак",settlement,"Республика Башкортостан"
"Отрада",settlement,"Республика Башкортостан"
"Кипчак-Аскарово",settlement,"Республика Башкортостан"
"Нигматуллино",settlement,"Республика Башкортостан"
"Слак",settlement,"Республика Башкортостан"
"Нефорощанка",settlement,"Республика Башкортостан"
"Беляковка",settlement,"Республика Башкортостан"
"Байдаковка",settlement,"Республика Башкортостан"
"Игенче",settlement,"Республика Башкортостан"
"Сартбаш",settlement,"Республика Башкортостан"
"Красная Звезда",settlement,"Республика Башкортостан"
"Михайловка",settlement,"Республика Башкортостан"
"Балкан",settlement,"Республика Башкортостан"
"Абдрашитово",settlement,"Республика Башкортостан"
"Абдулкаримово",settlement,"Республика Башкортостан"
"Новосепяшево",settlement,"Республика Башкортостан"
"Старосепяшево",settlement,"Республика Башкортостан"
"Акберда",settlement,"Республика Башкортостан"
"Ибраево",settlement,"Республика Башкортостан"
"Клиновка",settlement,"Республика Башкортостан"
"Степановка",settlement,"Республика Башкортостан"
"Самодуровка",settlement,"Республика Башкортостан"
"Санатория имени Чехова",settlement,"Республика Башкортостан"
"Бугульминка",settlement,"Республика Башкортостан"
"Воздвиженка",settlement,"Республика Башкортостан"
"Челноковка",settlement,"Республика Башкортостан"
"Нововоздвиженка",settlement,"Республика Башкортостан"
"Осоргино",settlement,"Республика Башкортостан"
"Фань",settlement,"Республика Башкортостан"
"Малоаккулаево",settlement,"Республика Башкортостан"
"Староаккулаево",settlement,"Республика Башкортостан"
"Казанка",settlement,"Республика Башкортостан"
"Ярташлы",settlement,"Республика Башкортостан"
"Тавричанка",settlement,"Республика Башкортостан"
"Писаревка",settlement,"Республика Башкортостан"
"Новоконстантиновка",settlement,"Республика Башкортостан"
"Николаевка",settlement,"Республика Башкортостан"
"Мурзагулово",settlement,"Республика Башкортостан"
"Уразметово",settlement,"Республика Башкортостан"
"Каменка",settlement,"Республика Башкортостан"
"Сарышево",settlement,"Республика Башкортостан"
"Кункас",settlement,"Республика Башкортостан"
"Кызыл Юл",settlement,"Республика Башкортостан"
"Тюбетеево",settlement,"Республика Башкортостан"
"Чебенли",settlement,"Республика Башкортостан"
"Ташкичу",settlement,"Республика Башкортостан"
"Идрисово",settlement,"Республика Башкортостан"
"Каран",settlement,"Республика Башкортостан"
"Колонка",settlement,"Республика Башкортостан"
"Чуракаево",settlement,"Республика Башкортостан"
"Тукмакбаш",settlement,"Республика Башкортостан"
"Иршат",settlement,"Республика Башкортостан"
"Айтуган",settlement,"Республика Башкортостан"
"Гайниямак",settlement,"Республика Башкортостан"
"Буданьяр",settlement,"Республика Башкортостан"
"Зелёный Клин",settlement,"Республика Башкортостан"
"Красный Клин",settlement,"Республика Башкортостан"
"Чураево",settlement,"Республика Башкортостан"
"разъезда Гайны",settlement,"Республика Башкортостан"
"Шишма",settlement,"Республика Башкортостан"
"Хусаин",settlement,"Республика Башкортостан"
"Григорьевка",settlement,"Республика Башкортостан"
"Сулпан",settlement,"Республика Башкортостан"
"Орловка",settlement,"Республика Башкортостан"
"Баландино",settlement,"Республика Башкортостан"
"Архангельский",district,"Республика Башкортостан"
"Архангельское",settlement,"Республика Башкортостан"
"Абзаново",settlement,"Республика Башкортостан"
"Кызылярово",settlement,"Республика Башкортостан"
"Алексеевское",settlement,"Республика Башкортостан"
"Лагутовка",settlement,"Республика Башкортостан"
"Сухополь",settlement,"Республика Башкортостан"
"Казанка",settlement,"Республика Башкортостан"
"Валентиновка",settlement,"Республика Башкортостан"
"Орловка",settlement,"Республика Башкортостан"
"Андреевка",settlement,"Республика Башкортостан"
"Карташевка",settlement,"Республика Башкортостан"
"Успенка",settlement,"Республика Башкортостан"
"Троицкое",settlement,"Республика Башкортостан"
"Шакировка",settlement,"Республика Башкортостан"
"Сагитово",settlement,"Республика Башкортостан"
"Тукмаклы",settlement,"Республика Башкортостан"
"Каракул",settlement,"Республика Башкортостан"
"Березовка",settlement,"Республика Башкортостан"
"Князево",settlement,"Республика Башкортостан"
"Узунларово",settlement,"Республика Башкортостан"
"Бакалдинское",settlement,"Республика Башкортостан"
"Тереклы",settlement,"Республика Башкортостан"
"Басиновка",settlement,"Республика Башкортостан"
"Кургаш",settlement,"Республика Башкортостан"
"Родинский",settlement,"Республика Башкортостан"
"Усаклы",settlement,"Республика Башкортостан"
"Кизги",settlement,"Республика Башкортостан"
"Новошареево",settlement,"Республика Башкортостан"
"Белорус-Александровка",settlement,"Республика Башкортостан"
"Новые Сарты",settlement,"Республика Башкортостан"
"Кумурлы",settlement,"Республика Башкортостан"
"Тавакачево",settlement,"Республика Башкортостан"
"Гайфуллинское",settlement,"Республика Башкортостан"
"Приуралье",settlement,"Республика Башкортостан"
"Азово",settlement,"Республика Башкортостан"
"Айтмембетово",settlement,"Республика Башкортостан"
"Карагай",settlement,"Республика Башкортостан"
"Красный Зилим",settlement,"Республика Башкортостан"
"Васильевка",settlement,"Республика Башкортостан"
"Заитово",settlement,"Республика Башкортостан"
"Красная Горка",settlement,"Республика Башкортостан"
"Магаш",settlement,"Республика Башкортостан"
"Кузнецовка",settlement,"Республика Башкортостан"
"Лукинский",settlement,"Республика Башкортостан"
"Кысынды",settlement,"Республика Башкортостан"
"Заря",settlement,"Республика Башкортостан"
"Горный",settlement,"Республика Башкортостан"
"Михайловка",settlement,"Республика Башкортостан"
"Верхний Фроловский",settlement,"Республика Башкортостан"
"Яркинский",settlement,"Республика Башкортостан"
"Убалары",settlement,"Республика Башкортостан"
"Аскино",settlement,"Республика Башкортостан"
"Бейсово",settlement,"Республика Башкортостан"
"Муллакаево",settlement,"Республика Башкортостан"
"Приураловка",settlement,"Республика Башкортостан"
"Красная Регизла",settlement,"Республика Башкортостан"
"Чик-Елга",settlement,"Республика Башкортостан"
"Победа",settlement,"Республика Башкортостан"
"Максим Горький",settlement,"Республика Башкортостан"
"Асы",settlement,"Республика Башкортостан"
"Устье-Бассы",settlement,"Республика Башкортостан"
"Благовещенка",settlement,"Республика Башкортостан"
"Верхние Лемезы",settlement,"Республика Башкортостан"
"Новоустиновка",settlement,"Республика Башкортостан"
"Ирныкши",settlement,"Республика Башкортостан"
"Новочишма",settlement,"Республика Башкортостан"
"Новокызылярово",settlement,"Республика Башкортостан"
"Аккулево",settlement,"Республика Башкортостан"
"Николаевка",settlement,"Республика Башкортостан"
"Верхние Ирныкши",settlement,"Республика Башкортостан"
"Петропавловка",settlement,"Республика Башкортостан"
"Арх-Латышский",city,"Республика Башкортостан"
"Аскинский",district,"Республика Башкортостан"
"Аскино",settlement,"Республика Башкортостан"
"Барахаевка",settlement,"Республика Башкортостан"
"Арбашево",settlement,"Республика Башкортостан"
